date,cost,hours,notes
2022-10-25,1000,6,parenting time given day after hearing - only October visit
2022-10-28,557,0,health insurance canceled by father - uncovered claim from appointment grandmother took child to without consent
2022-11-12,500,8,November visitation
2022-12-10,500,7.5,December visitation
2023-01-14,500,7,January visitation
2023-02-12,500,8,February visitation
2023-03-11,500,8,Sawyer cried said I want to go to mommy's house Pete made dad drop off before agreeing to let mom visit
2023-04-08,0,0,Kent at house without breathalyzer during call - left when texted - bought alcohol at Publix - Easter visitation denied threatened termination of all contact
2023-04-16,500,8,Rescheduled April visitation from Easter cancellation
2023-04-20,1100,0,Spring Break Columbia court records - denied access to Sawyer - Jane blocked after passing on road
2023-05-14,500,8,May visitation - denied Mothers Day weekend and Sawyer baptism/dedication
2023-06-10,500,7,June visitation - Pete threatened cancel if no confirmation email reply - served Rule to Show Cause on arrival - Sawyer cried did not want to leave
2023-06-22,1500,0,Hearings in Lexington virtual confirmation not timely - missed 2 days work plus travel - denied all requests to see Sawyer
2023-07-08,500,8,July visitation
